seqnames	start	end
1	10001463	10001968
1	10014569	10015425
1	10028625	10029640
1	10076290	10076799
1	10095109	10095736
1	10108362	10109116
1	10123018	10123521
1	10139934	10140516
1	10140516	10141166
1	10146311	10146880
1	10151414	10152085
1	10156482	10157308
1	10159722	10160225
1	10165778	10166387
1	101724	102346
1	10180002	10180955
1	10185369	10185885
1	10194937	10195662
1	10198173	10198855
1	10203258	10203823
1	10203823	10204435
1	10213530	10214269
1	10214269	10214788
1	10219428	10220110
1	10228570	10229147
1	10229147	10229753
1	1023598	1024165
1	10237961	10238759
1	1024165	1024749
1	10243351	10243918
1	10243918	10244482
1	10244482	10244994
1	10247188	10247795
1	10261707	10262217
1	10266996	10267593
1	10297311	10297895
1	1030365	1031298
1	10306903	10307594
1	10313688	10314428
1	10320255	10321210
1	10353712	10354351
1	103666	104390
1	10374634	10375398
1	10381914	10382415
1	10449848	10450768
1	1051126	1051752
1	10516463	10516998
1	10517359	10517950
1	10537083	10537716
1	10540685	10541340
1	10541968	10542506
1	10553325	10553892
1	10561270	10561905
1	10573400	10574096
1	10574375	10574874
1	10581102	10581656
1	106038	106631
1	10616823	10617475
1	10623173	10623765
1	10627489	10628311
1	10638556	10639135
1	10648466	10649124
1	10658603	10659205
1	10684765	10685470
1	10685470	10686038
1	10708228	10708806
1	10709280	10709918
1	10712182	10713023
1	10723331	10723948
1	1072778	1073411
1	10737853	10738598
1	10757575	10758133
1	10758807	10759396
1	10762287	10762819
1	10794666	10795527
1	10810472	10811037
1	10826915	10827512
1	10840702	10841324
1	1084391	1084979
1	10850586	10851316
1	10854274	10854985
1	10858015	10858541
1	10860182	10860804
1	10867946	10868578
1	10875532	10876146
1	10886167	10887057
1	10887057	10888047
1	10897131	10898162
1	10942142	10942714
1	10949027	10949543
1	10959309	10960122
1	1096461	1097057
1	10989460	10990192
1	11006245	11006783
1	1103068	1103584
1	11084366	11084913
1	11107579	11108399
1	11108399	11109200
1	11116017	11116719
1	11135247	11135846
1	11136030	11136581
